frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
93,3.875,abworkout,0,1,0,0,0,0,0,1
95,3.9583333333333335,abworkout,0,1,0,0,0,0,0,1
97,4.041666666666667,abworkout,0,1,0,0,0,0,0,1
99,4.125,abworkout,0,1,0,0,0,0,0,1
101,4.208333333333333,abworkout,0,1,0,0,0,0,0,1
103,4.291666666666667,abworkout,0,1,0,0,0,0,0,1
105,4.375,abworkout,0,1,0,0,0,0,0,1
107,4.458333333333333,abworkout,0,1,0,0,0,0,0,1
109,4.541666666666667,abworkout,0,1,0,0,0,0,0,1
111,4.625,abworkout,0,1,0,0,0,0,0,1
113,4.708333333333333,abworkout,0,1,0,0,0,0,0,1
115,4.791666666666667,abworkout,0,1,0,0,0,0,0,1
117,4.875,abworkout,0,1,0,0,0,0,0,1
119,4.958333333333333,abworkout,0,2,0,0,0,0,0,2
121,5.041666666666667,abworkout,0,2,0,0,0,0,0,2
123,5.125,abworkout,0,2,0,0,0,0,0,2
125,5.208333333333333,abworkout,0,2,0,0,0,0,0,2
127,5.291666666666667,abworkout,0,2,0,0,0,0,0,2
129,5.375,abworkout,0,2,0,0,0,0,0,2
131,5.458333333333333,abworkout,0,2,0,0,0,0,0,2
133,5.541666666666667,abworkout,0,2,0,0,0,0,0,2
135,5.625,abworkout,0,2,0,0,0,0,0,2
137,5.708333333333333,abworkout,0,2,0,0,0,0,0,2
139,5.791666666666667,abworkout,0,2,0,0,0,0,0,2
141,5.875,abworkout,0,2,0,0,0,0,0,2
143,5.958333333333333,abworkout,0,2,0,0,0,0,0,2
145,6.041666666666667,abworkout,0,2,0,0,0,0,0,2
147,6.125,abworkout,0,2,0,0,0,0,0,2
149,6.208333333333333,abworkout,0,2,0,0,0,0,0,2
151,6.291666666666667,abworkout,0,2,0,0,0,0,0,2
153,6.375,abworkout,0,2,0,0,0,0,0,2
155,6.458333333333333,abworkout,0,2,0,0,0,0,0,2
157,6.541666666666667,abworkout,0,2,0,0,0,0,0,2
159,6.625,abworkout,0,2,0,0,0,0,0,2
161,6.708333333333333,abworkout,0,2,0,0,0,0,0,2
163,6.791666666666667,abworkout,0,2,0,0,0,0,0,2
165,6.875,abworkout,0,2,0,0,0,0,0,2
167,6.958333333333333,abworkout,0,2,0,0,0,0,0,2
169,7.041666666666667,abworkout,0,2,0,0,0,0,0,2
171,7.125,abworkout,0,2,0,0,0,0,0,2
173,7.208333333333333,abworkout,0,2,0,0,0,0,0,2
175,7.291666666666667,abworkout,0,2,0,0,0,0,0,2
177,7.375,abworkout,0,2,0,0,0,0,0,2
179,7.458333333333333,abworkout,0,2,0,0,0,0,0,2
181,7.541666666666667,pushup,1,2,0,0,0,0,0,3
183,7.625,pushup,1,2,0,0,0,0,0,3
185,7.708333333333333,pushup,1,2,0,0,0,0,0,3
187,7.791666666666667,pushup,1,2,0,0,0,0,0,3
189,7.875,pushup,1,2,0,0,0,0,0,3
191,7.958333333333333,pushup,1,2,0,0,0,0,0,3
193,8.041666666666666,pushup,1,2,0,0,0,0,0,3
195,8.125,pushup,1,2,0,0,0,0,0,3
